Country,2022 Rank,2022 Happiness Score,2021 Rank,2021 Happiness Score,2020 Rank,2020 Happiness Score,2019 Rank,2019 Happiness Score,2018 Rank,2018 Happiness Score,2017 Rank,2017 Happiness Score,2016 Rank,2016 Happiness Score,2015 Rank,2015 Happiness Score
Finland,1,7.82,1,7.84,1,7.81,1,7.77,1,7.63,5,7.47,5,7.41,6,7.41
Denmark,2,7.64,2,7.62,2,7.65,2,7.6,3,7.56,2,7.52,1,7.53,3,7.53
Iceland,3,7.56,4,7.55,4,7.5,4,7.49,4,7.5,3,7.5,3,7.5,2,7.56
Switzerland,4,7.51,3,7.57,3,7.56,6,7.48,5,7.49,4,7.49,2,7.51,1,7.59
Netherlands,5,7.42,5,7.46,6,7.45,5,7.49,6,7.44,6,7.38,7,7.34,7,7.38
Sweden,7,7.38,7,7.36,7,7.35,7,7.34,9,7.31,9,7.28,10,7.29,8,7.36
Norway,8,7.36,6,7.39,5,7.49,3,7.55,2,7.59,1,7.54,4,7.5,4,7.52
Israel,9,7.36,12,7.16,14,7.13,13,7.14,19,6.81,11,7.21,11,7.27,11,7.28
New Zealand,10,7.2,9,7.28,8,7.3,8,7.31,8,7.32,8,7.31,8,7.33,9,7.29
Austria,11,7.16,10,7.27,9,7.29,10,7.25,12,7.14,13,7.01,12,7.12,13,7.2
Australia,12,7.16,11,7.18,12,7.22,11,7.23,10,7.27,10,7.28,9,7.31,10,7.28
Ireland,13,7.04,15,7.08,16,7.09,16,7.02,14,6.98,15,6.98,19,6.91,18,6.94
Germany,14,7.03,13,7.16,17,7.08,17,6.98,15,6.96,16,6.95,16,6.99,26,6.75
Canada,15,7.02,14,7.1,11,7.23,9,7.28,7,7.33,7,7.32,6,7.4,5,7.43
United States of America,16,6.98,19,6.95,18,6.94,19,6.89,18,6.89,14,6.99,13,7.1,15,7.12
United Kingdom,17,6.94,17,7.06,13,7.16,15,7.05,11,7.19,19,6.71,23,6.72,21,6.87
Belgium,19,6.8,20,6.83,20,6.86,18,6.92,16,6.93,17,6.89,18,6.93,19,6.94
France,20,6.69,21,6.69,23,6.66,24,6.59,23,6.49,31,6.44,32,6.48,29,6.58
Bahrain,21,6.65,22,6.65,40,6.23,37,6.2,43,6.1,41,6.09,42,6.22,49,5.96
Slovenia,22,6.63,29,6.46,33,6.36,44,6.12,51,5.95,62,5.76,63,5.77,55,5.85
Costa Rica,23,6.58,16,7.07,15,7.12,12,7.17,13,7.07,12,7.08,14,7.09,12,7.23
